k5; static; None; 49152; 0.349; 0.022
k5; static; 1; 49152; 0.328; 0.006
k5; static; 10; 49152; 0.319; 0.02
k5; static; 100; 49152; 0.336; 0.004
k5; static; 1000; 49152; 0.997; 0.032
k5; static; 5000; 49152; 1.61; 0.018
k5; dynamic; None; 49152; 0.322; 0.004
k5; dynamic; 1; 49152; 0.299; 0.006
k5; dynamic; 10; 49152; 0.308; 0.008
k5; dynamic; 100; 49152; 0.334; 0.001
k5; dynamic; 1000; 49152; 1.066; 0.017
k5; dynamic; 5000; 49152; 1.594; 0.006
k5; guided; None; 49152; 0.327; 0.018
k5; guided; 1; 49152; 0.294; 0.002
k5; guided; 10; 49152; 0.299; 0.002
k5; guided; 100; 49152; 0.348; 0.004
k5; guided; 1000; 49152; 1.058; 0.038
k5; guided; 5000; 49152; 1.624; 0.02
k5; static; None; 65536; 0.336; 0.009
k5; static; 1; 65536; 0.314; 0.005
k5; static; 10; 65536; 0.316; 0.001
k5; static; 100; 65536; 0.385; 0.006
k5; static; 1000; 65536; 1.18; 0.03
k5; static; 5000; 65536; 1.632; 0.002
k5; dynamic; None; 65536; 0.331; 0.005
k5; dynamic; 1; 65536; 0.3; 0.002
k5; dynamic; 10; 65536; 0.306; 0.001
k5; dynamic; 100; 65536; 0.395; 0.004
k5; dynamic; 1000; 65536; 1.192; 0.017
k5; dynamic; 5000; 65536; 1.639; 0.003
k5; guided; None; 65536; 0.32; 0.006
k5; guided; 1; 65536; 0.299; 0.006
k5; guided; 10; 65536; 0.306; 0.003
k5; guided; 100; 65536; 0.402; 0.007
k5; guided; 1000; 65536; 1.21; 0.015
k5; guided; 5000; 65536; 1.663; 0.024
k5; static; None; 131072; 0.432; 0.02
k5; static; 1; 131072; 0.443; 0.005
k5; static; 10; 131072; 0.35; 0.015
k5; static; 100; 131072; 0.518; 0.029
k5; static; 1000; 131072; 1.682; 0.086
k5; static; 5000; 131072; 1.609; 0.014
k5; dynamic; None; 131072; 0.33; 0.006
k5; dynamic; 1; 131072; 0.369; 0.092
k5; dynamic; 10; 131072; 0.438; 0.032
k5; dynamic; 100; 131072; 0.434; 0.026
k5; dynamic; 1000; 131072; 1.634; 0.02
k5; dynamic; 5000; 131072; 1.645; 0.012
k5; guided; None; 131072; 0.348; 0.021
k5; guided; 1; 131072; 0.312; 0.008
k5; guided; 10; 131072; 0.311; 0.008
k5; guided; 100; 131072; 0.41; 0.002
k5; guided; 1000; 131072; 1.627; 0.011
k5; guided; 5000; 131072; 1.622; 0.035
k5; static; None; 262144; 0.331; 0.032
k5; static; 1; 262144; 0.319; 0.024
k5; static; 10; 262144; 0.329; 0.012
k5; static; 100; 262144; 0.642; 0.013
k5; static; 1000; 262144; 1.589; 0.002
k5; static; 5000; 262144; 1.595; 0.009
k5; dynamic; None; 262144; 0.312; 0.012
k5; dynamic; 1; 262144; 0.284; 0.004
k5; dynamic; 10; 262144; 0.319; 0.015
k5; dynamic; 100; 262144; 0.665; 0.014
k5; dynamic; 1000; 262144; 1.589; 0.001
k5; dynamic; 5000; 262144; 1.593; 0.007
k5; guided; None; 262144; 0.33; 0.012
k5; guided; 1; 262144; 0.308; 0.008
k5; guided; 10; 262144; 0.315; 0.002
k5; guided; 100; 262144; 0.68; 0.028
k5; guided; 1000; 262144; 1.595; 0.003
k5; guided; 5000; 262144; 1.585; 0.009
k5; static; None; 524288; 0.342; 0.018
k5; static; 1; 524288; 0.333; 0.029
k5; static; 10; 524288; 0.352; 0.004
k5; static; 100; 524288; 1.001; 0.022
k5; static; 1000; 524288; 1.584; 0.004
k5; static; 5000; 524288; 1.572; 0.004
k5; dynamic; None; 524288; 0.309; 0.008
k5; dynamic; 1; 524288; 0.298; 0.013
k5; dynamic; 10; 524288; 0.346; 0.016
k5; dynamic; 100; 524288; 1.004; 0.008
k5; dynamic; 1000; 524288; 1.622; 0.032
k5; dynamic; 5000; 524288; 1.573; 0.015
k5; guided; None; 524288; 0.302; 0.0
k5; guided; 1; 524288; 0.288; 0.003
k5; guided; 10; 524288; 0.336; 0.003
k5; guided; 100; 524288; 0.972; 0.023
k5; guided; 1000; 524288; 1.576; 0.004
k5; guided; 5000; 524288; 1.575; 0.011
k5; static; None; 1048576; 0.367; 0.005
k5; static; 1; 1048576; 0.37; 0.002
k5; static; 10; 1048576; 0.417; 0.014
k5; static; 100; 1048576; 1.581; 0.011
k5; static; 1000; 1048576; 1.578; 0.007
k5; static; 5000; 1048576; 1.581; 0.03
k5; dynamic; None; 1048576; 0.369; 0.007
k5; dynamic; 1; 1048576; 0.369; 0.012
k5; dynamic; 10; 1048576; 0.419; 0.003
k5; dynamic; 100; 1048576; 1.564; 0.008
k5; dynamic; 1000; 1048576; 1.569; 0.015
k5; dynamic; 5000; 1048576; 1.607; 0.042
k5; guided; None; 1048576; 0.379; 0.004
k5; guided; 1; 1048576; 0.365; 0.003
k5; guided; 10; 1048576; 0.432; 0.009
k5; guided; 100; 1048576; 1.575; 0.008
k5; guided; 1000; 1048576; 1.589; 0.022
k5; guided; 5000; 1048576; 1.587; 0.019